country,year_raw,value,year
   Austria,1994,22860000,1994
   Belgium,1994,0,1994
   Belgium/Luxembourg,1994,78240000,1994
   Bulgaria,1994,6600000,1994
   Croatia,1994,1800000,1994
   Cyprus,1994,60000,1994
   Czechia,1994,2700000,1994
   Denmark,1994,7500000,1994
   Estonia,1994,1200000,1994
   Finland,1994,13020000,1994
   France,1994,69900000,1994
   Germany,1994,208140000,1994
   Greece,1994,8760000,1994
   Hungary,1994,2820000,1994
   Ireland,1994,180000,1994
   Italy,1994,47160000,1994
   Latvia,1994,1020000,1994
   Lithuania,1994,600000,1994
   Luxembourg,1994,0,1994
   Malta,1994,120000,1994
   Netherlands,1994,40680000,1994
   Poland,1994,6000000,1994
   Portugal,1994,3120000,1994
   Romania,1994,0,1994
   Slovakia,1994,1380000,1994
   Slovenia,1994,420000,1994
   Spain,1994,14220000,1994
   Sweden,1994,13440000,1994
Japan,1994,1620000,1994
Norway,1994,360000,1994
Russian Federation,1994,840000,1994
Switzerland,1994,11760000,1994
Tunisia,1994,0,1994
United Kingdom,1994,49020000,1994
United States of America,1994,154320000,1994
   Austria,1995,13740000,1995
   Belgium,1995,0,1995
   Belgium/Luxembourg,1995,79680000,1995
   Bulgaria,1995,7320000,1995
   Croatia,1995,1920000,1995
   Cyprus,1995,60000,1995
   Czechia,1995,2520000,1995
   Denmark,1995,7140000,1995
   Estonia,1995,1500000,1995
   Finland,1995,5820000,1995
   France,1995,64860000,1995
   Germany,1995,193200000,1995
   Greece,1995,8340000,1995
   Hungary,1995,4320000,1995
   Ireland,1995,480000,1995
   Italy,1995,44940000,1995
   Latvia,1995,900000,1995
   Lithuania,1995,2700000,1995
   Luxembourg,1995,0,1995
   Malta,1995,60000,1995
   Netherlands,1995,37020000,1995
   Poland,1995,8040000,1995
   Portugal,1995,4440000,1995
   Romania,1995,120000,1995
   Slovakia,1995,1620000,1995
   Slovenia,1995,480000,1995
   Spain,1995,23820000,1995
   Sweden,1995,13020000,1995
Japan,1995,420000,1995
Norway,1995,300000,1995
Russian Federation,1995,4680000,1995
Switzerland,1995,10500000,1995
Tunisia,1995,0,1995
United Kingdom,1995,37980000,1995
United States of America,1995,110460000,1995
   Austria,1996,9780000,1996
   Belgium,1996,0,1996
   Belgium/Luxembourg,1996,89220000,1996
   Bulgaria,1996,1560000,1996
   Croatia,1996,1020000,1996
   Cyprus,1996,60000,1996
   Czechia,1996,3000000,1996
   Denmark,1996,6660000,1996
   Estonia,1996,1980000,1996
   Finland,1996,10320000,1996
   France,1996,70920000,1996
   Germany,1996,216780000,1996
   Greece,1996,3060000,1996
   Hungary,1996,1920000,1996
   Ireland,1996,660000,1996
   Italy,1996,49560000,1996
   Latvia,1996,960000,1996
   Lithuania,1996,4980000,1996
   Luxembourg,1996,0,1996
   Malta,1996,0,1996
   Netherlands,1996,34500000,1996
   Poland,1996,10140000,1996
   Portugal,1996,5940000,1996
   Romania,1996,0,1996
   Slovakia,1996,960000,1996
   Slovenia,1996,660000,1996
   Spain,1996,35700000,1996
   Sweden,1996,13500000,1996
Japan,1996,360000,1996
Norway,1996,420000,1996
Russian Federation,1996,3900000,1996
Switzerland,1996,14580000,1996
Tunisia,1996,0,1996
United Kingdom,1996,33120000,1996
United States of America,1996,122940000,1996
   Austria,1997,13320000,1997
   Belgium,1997,0,1997
   Belgium/Luxembourg,1997,99480000,1997
   Bulgaria,1997,1140000,1997
   Croatia,1997,1440000,1997
   Cyprus,1997,60000,1997
   Czechia,1997,4560000,1997
   Denmark,1997,8460000,1997
   Estonia,1997,2520000,1997
   Finland,1997,12300000,1997
   France,1997,69960000,1997
   Germany,1997,236100000,1997
   Greece,1997,3000000,1997
   Hungary,1997,4380000,1997
   Ireland,1997,540000,1997
   Italy,1997,49560000,1997
   Latvia,1997,1440000,1997
   Lithuania,1997,4740000,1997
   Luxembourg,1997,0,1997
   Malta,1997,60000,1997
   Netherlands,1997,33420000,1997
   Poland,1997,17220000,1997
   Portugal,1997,6480000,1997
   Romania,1997,60000,1997
   Slovakia,1997,1080000,1997
   Slovenia,1997,600000,1997
   Spain,1997,46740000,1997
   Sweden,1997,13920000,1997
Japan,1997,1140000,1997
Norway,1997,540000,1997
Russian Federation,1997,19680000,1997
Switzerland,1997,16800000,1997
Tunisia,1997,0,1997
United Kingdom,1997,30660000,1997
United States of America,1997,146760000,1997
   Austria,1998,12600000,1998
   Belgium,1998,0,1998
   Belgium/Luxembourg,1998,136200000,1998
   Bulgaria,1998,1080000,1998
   Croatia,1998,1140000,1998
   Cyprus,1998,60000,1998
   Czechia,1998,14460000,1998
   Denmark,1998,9600000,1998
   Estonia,1998,2700000,1998
   Finland,1998,11160000,1998
   France,1998,71580000,1998
   Germany,1998,243780000,1998
   Greece,1998,2220000,1998
   Hungary,1998,3780000,1998
   Ireland,1998,600000,1998
   Italy,1998,56760000,1998
   Latvia,1998,1500000,1998
   Lithuania,1998,3000000,1998
   Luxembourg,1998,0,1998
   Malta,1998,240000,1998
   Netherlands,1998,54060000,1998
   Poland,1998,19680000,1998
   Portugal,1998,5760000,1998
   Romania,1998,660000,1998
   Slovakia,1998,1020000,1998
   Slovenia,1998,720000,1998
   Spain,1998,42000000,1998
   Sweden,1998,11520000,1998
Japan,1998,540000,1998
Norway,1998,240000,1998
Russian Federation,1998,5100000,1998
Switzerland,1998,15240000,1998
Tunisia,1998,0,1998
United Kingdom,1998,32220000,1998
United States of America,1998,146820000,1998
   Austria,1999,23880000,1999
   Belgium,1999,130140000,1999
   Belgium/Luxembourg,1999,0,1999
   Bulgaria,1999,240000,1999
   Croatia,1999,900000,1999
   Cyprus,1999,120000,1999
   Czechia,1999,10200000,1999
   Denmark,1999,13500000,1999
   Estonia,1999,2160000,1999
   Finland,1999,12900000,1999
   France,1999,68460000,1999
   Germany,1999,238320000,1999
   Greece,1999,5520000,1999
   Hungary,1999,6300000,1999
   Ireland,1999,420000,1999
   Italy,1999,61380000,1999
   Latvia,1999,1020000,1999
   Lithuania,1999,2880000,1999
   Luxembourg,1999,5040000,1999
   Malta,1999,0,1999
   Netherlands,1999,65640000,1999
   Poland,1999,25080000,1999
   Portugal,1999,5940000,1999
   Romania,1999,300000,1999
   Slovakia,1999,1200000,1999
   Slovenia,1999,660000,1999
   Spain,1999,38340000,1999
   Sweden,1999,10560000,1999
Japan,1999,480000,1999
Norway,1999,300000,1999
Russian Federation,1999,960000,1999
Switzerland,1999,18120000,1999
Tunisia,1999,0,1999
United Kingdom,1999,38700000,1999
United States of America,1999,130080000,1999
   Austria,2000,24540000,2000
   Belgium,2000,141420000,2000
   Belgium/Luxembourg,2000,0,2000
   Bulgaria,2000,360000,2000
   Croatia,2000,1020000,2000
   Cyprus,2000,60000,2000
   Czechia,2000,14940000,2000
   Denmark,2000,13860000,2000
   Estonia,2000,480000,2000
   Finland,2000,10320000,2000
   France,2000,64380000,2000
   Germany,2000,289500000,2000
   Greece,2000,6660000,2000
   Hungary,2000,9420000,2000
   Ireland,2000,4320000,2000
   Italy,2000,69360000,2000
   Latvia,2000,1140000,2000
   Lithuania,2000,2340000,2000
   Luxembourg,2000,5280000,2000
   Malta,2000,0,2000
   Netherlands,2000,66360000,2000
   Poland,2000,31860000,2000
   Portugal,2000,7380000,2000
   Romania,2000,60000,2000
   Slovakia,2000,1380000,2000
   Slovenia,2000,840000,2000
   Spain,2000,45180000,2000
   Sweden,2000,10260000,2000
Japan,2000,1920000,2000
Norway,2000,300000,2000
Russian Federation,2000,1620000,2000
Switzerland,2000,18780000,2000
Tunisia,2000,60000,2000
United Kingdom,2000,39120000,2000
United States of America,2000,123300000,2000
   Austria,2001,26400000,2001
   Belgium,2001,139440000,2001
   Belgium/Luxembourg,2001,0,2001
   Bulgaria,2001,300000,2001
   Croatia,2001,900000,2001
   Cyprus,2001,240000,2001
   Czechia,2001,15960000,2001
   Denmark,2001,14100000,2001
   Estonia,2001,3240000,2001
   Finland,2001,8880000,2001
   France,2001,76020000,2001
   Germany,2001,320640000,2001
   Greece,2001,19200000,2001
   Hungary,2001,11160000,2001
   Ireland,2001,2040000,2001
   Italy,2001,77400000,2001
   Latvia,2001,360000,2001
   Lithuania,2001,3780000,2001
   Luxembourg,2001,4560000,2001
   Malta,2001,0,2001
   Netherlands,2001,67020000,2001
   Poland,2001,29820000,2001
   Portugal,2001,6960000,2001
   Romania,2001,60000,2001
   Slovakia,2001,1980000,2001
   Slovenia,2001,660000,2001
   Spain,2001,74220000,2001
   Sweden,2001,10860000,2001
Japan,2001,4680000,2001
Norway,2001,360000,2001
Russian Federation,2001,1500000,2001
Switzerland,2001,22860000,2001
Tunisia,2001,60000,2001
United Kingdom,2001,46260000,2001
United States of America,2001,123360000,2001
   Austria,2002,31680000,2002
   Belgium,2002,138480000,2002
   Belgium/Luxembourg,2002,0,2002
   Bulgaria,2002,180000,2002
   Croatia,2002,960000,2002
   Cyprus,2002,240000,2002
   Czechia,2002,14760000,2002
   Denmark,2002,16260000,2002
   Estonia,2002,540000,2002
   Finland,2002,7140000,2002
   France,2002,75840000,2002
   Germany,2002,377280000,2002
   Greece,2002,4260000,2002
   Hungary,2002,11400000,2002
   Ireland,2002,2040000,2002
   Italy,2002,80460000,2002
   Latvia,2002,1140000,2002
   Lithuania,2002,3300000,2002
   Luxembourg,2002,4800000,2002
   Malta,2002,60000,2002
   Netherlands,2002,71160000,2002
   Poland,2002,26520000,2002
   Portugal,2002,6840000,2002
   Romania,2002,60000,2002
   Slovakia,2002,1500000,2002
   Slovenia,2002,720000,2002
   Spain,2002,69960000,2002
   Sweden,2002,14340000,2002
Japan,2002,5940000,2002
Norway,2002,360000,2002
Russian Federation,2002,3180000,2002
Switzerland,2002,26520000,2002
Tunisia,2002,60000,2002
United Kingdom,2002,46680000,2002
United States of America,2002,131520000,2002
   Austria,2003,37200000,2003
   Belgium,2003,134280000,2003
   Belgium/Luxembourg,2003,0,2003
   Bulgaria,2003,180000,2003
   Croatia,2003,1020000,2003
   Cyprus,2003,360000,2003
   Czechia,2003,21060000,2003
   Denmark,2003,16680000,2003
   Estonia,2003,1140000,2003
   Finland,2003,7320000,2003
   France,2003,79680000,2003
   Germany,2003,391080000,2003
   Greece,2003,4140000,2003
   Hungary,2003,13080000,2003
   Ireland,2003,4500000,2003
   Italy,2003,84600000,2003
   Latvia,2003,1620000,2003
   Lithuania,2003,2880000,2003
   Luxembourg,2003,5940000,2003
   Malta,2003,0,2003
   Netherlands,2003,85980000,2003
   Poland,2003,25320000,2003
   Portugal,2003,6600000,2003
   Romania,2003,0,2003
   Slovakia,2003,1020000,2003
   Slovenia,2003,600000,2003
   Spain,2003,81900000,2003
   Sweden,2003,15420000,2003
Japan,2003,8220000,2003
Norway,2003,480000,2003
Russian Federation,2003,5580000,2003
Switzerland,2003,25380000,2003
Tunisia,2003,180000,2003
United Kingdom,2003,45540000,2003
United States of America,2003,167880000,2003
   Austria,2004,32580000,2004
   Belgium,2004,154320000,2004
   Belgium/Luxembourg,2004,0,2004
   Bulgaria,2004,180000,2004
   Croatia,2004,1080000,2004
   Cyprus,2004,420000,2004
   Czechia,2004,19440000,2004
   Denmark,2004,16260000,2004
   Estonia,2004,2820000,2004
   Finland,2004,7740000,2004
   France,2004,62400000,2004
   Germany,2004,420660000,2004
   Greece,2004,4260000,2004
   Hungary,2004,16200000,2004
   Ireland,2004,2160000,2004
   Italy,2004,93540000,2004
   Latvia,2004,1980000,2004
   Lithuania,2004,3540000,2004
   Luxembourg,2004,5700000,2004
   Malta,2004,0,2004
   Netherlands,2004,70860000,2004
   Poland,2004,24360000,2004
   Portugal,2004,4980000,2004
   Romania,2004,600000,2004
   Slovakia,2004,900000,2004
   Slovenia,2004,660000,2004
   Spain,2004,86220000,2004
   Sweden,2004,15720000,2004
Japan,2004,5220000,2004
Norway,2004,420000,2004
Russian Federation,2004,7740000,2004
Switzerland,2004,30720000,2004
Tunisia,2004,60000,2004
United Kingdom,2004,50280000,2004
United States of America,2004,157560000,2004
   Austria,2005,48360000,2005
   Belgium,2005,174300000,2005
   Belgium/Luxembourg,2005,0,2005
   Bulgaria,2005,660000,2005
   Croatia,2005,1080000,2005
   Cyprus,2005,540000,2005
   Czechia,2005,24420000,2005
   Denmark,2005,11940000,2005
   Estonia,2005,4560000,2005
   Finland,2005,3240000,2005
   France,2005,61680000,2005
   Germany,2005,501360000,2005
   Greece,2005,3600000,2005
   Hungary,2005,16920000,2005
   Ireland,2005,1800000,2005
   Italy,2005,102480000,2005
   Latvia,2005,2820000,2005
   Lithuania,2005,5400000,2005
   Luxembourg,2005,6240000,2005
   Malta,2005,0,2005
   Netherlands,2005,63660000,2005
   Poland,2005,31440000,2005
   Portugal,2005,6420000,2005
   Romania,2005,1020000,2005
   Slovakia,2005,840000,2005
   Slovenia,2005,540000,2005
   Spain,2005,87180000,2005
   Sweden,2005,31380000,2005
Japan,2005,3780000,2005
Norway,2005,600000,2005
Russian Federation,2005,9060000,2005
Switzerland,2005,34020000,2005
Tunisia,2005,0,2005
United Kingdom,2005,53100000,2005
United States of America,2005,147120000,2005
   Austria,2006,59460000,2006
   Belgium,2006,184020000,2006
   Belgium/Luxembourg,2006,0,2006
   Bulgaria,2006,840000,2006
   Croatia,2006,1080000,2006
   Cyprus,2006,1080000,2006
   Czechia,2006,18540000,2006
   Denmark,2006,10920000,2006
   Estonia,2006,5220000,2006
   Finland,2006,7260000,2006
   France,2006,57420000,2006
   Germany,2006,550620000,2006
   Greece,2006,2460000,2006
   Hungary,2006,18180000,2006
   Ireland,2006,3120000,2006
   Italy,2006,116280000,2006
   Latvia,2006,2400000,2006
   Lithuania,2006,6180000,2006
   Luxembourg,2006,6120000,2006
   Malta,2006,0,2006
   Netherlands,2006,69840000,2006
   Poland,2006,39660000,2006
   Portugal,2006,6840000,2006
   Romania,2006,1140000,2006
   Slovakia,2006,3960000,2006
   Slovenia,2006,660000,2006
   Spain,2006,87660000,2006
   Sweden,2006,30300000,2006
Japan,2006,2820000,2006
Norway,2006,600000,2006
Russian Federation,2006,14640000,2006
Switzerland,2006,37260000,2006
Tunisia,2006,540000,2006
United Kingdom,2006,56940000,2006
United States of America,2006,163260000,2006
   Austria,2007,67200000,2007
   Belgium,2007,174660000,2007
   Belgium/Luxembourg,2007,0,2007
   Bulgaria,2007,1740000,2007
   Croatia,2007,1620000,2007
   Cyprus,2007,120000,2007
   Czechia,2007,21480000,2007
   Denmark,2007,12060000,2007
   Estonia,2007,10560000,2007
   Finland,2007,9000000,2007
   France,2007,54060000,2007
   Germany,2007,641820000,2007
   Greece,2007,3960000,2007
   Hungary,2007,22260000,2007
   Ireland,2007,1020000,2007
   Italy,2007,131280000,2007
   Latvia,2007,1200000,2007
   Lithuania,2007,6300000,2007
   Luxembourg,2007,6540000,2007
   Malta,2007,0,2007
   Netherlands,2007,74340000,2007
   Poland,2007,42540000,2007
   Portugal,2007,9120000,2007
   Romania,2007,960000,2007
   Slovakia,2007,9120000,2007
   Slovenia,2007,600000,2007
   Spain,2007,91200000,2007
   Sweden,2007,31500000,2007
Japan,2007,5220000,2007
Norway,2007,480000,2007
Russian Federation,2007,20400000,2007
Switzerland,2007,50520000,2007
Tunisia,2007,0,2007
United Kingdom,2007,59340000,2007
United States of America,2007,162420000,2007
   Austria,2008,59520000,2008
   Belgium,2008,368520000,2008
   Belgium/Luxembourg,2008,0,2008
   Bulgaria,2008,4320000,2008
   Croatia,2008,1680000,2008
   Cyprus,2008,0,2008
   Czechia,2008,24960000,2008
   Denmark,2008,12720000,2008
   Estonia,2008,10860000,2008
   Finland,2008,10200000,2008
   France,2008,57840000,2008
   Germany,2008,628260000,2008
   Greece,2008,4680000,2008
   Hungary,2008,19020000,2008
   Ireland,2008,960000,2008
   Italy,2008,136620000,2008
   Latvia,2008,2340000,2008
   Lithuania,2008,11220000,2008
   Luxembourg,2008,6780000,2008
   Malta,2008,0,2008
   Netherlands,2008,58860000,2008
   Poland,2008,46740000,2008
   Portugal,2008,8940000,2008
   Romania,2008,1140000,2008
   Slovakia,2008,16200000,2008
   Slovenia,2008,660000,2008
   Spain,2008,86460000,2008
   Sweden,2008,31920000,2008
Japan,2008,10740000,2008
Norway,2008,420000,2008
Russian Federation,2008,25260000,2008
Switzerland,2008,52980000,2008
Tunisia,2008,0,2008
United Kingdom,2008,54000000,2008
United States of America,2008,171660000,2008
   Austria,2009,24900000,2009
   Belgium,2009,298860000,2009
   Belgium/Luxembourg,2009,0,2009
   Bulgaria,2009,6840000,2009
   Croatia,2009,1680000,2009
   Cyprus,2009,0,2009
   Czechia,2009,24300000,2009
   Denmark,2009,11040000,2009
   Estonia,2009,14040000,2009
   Finland,2009,11100000,2009
   France,2009,60840000,2009
   Germany,2009,649140000,2009
   Greece,2009,4320000,2009
   Hungary,2009,15540000,2009
   Ireland,2009,480000,2009
   Italy,2009,136320000,2009
   Latvia,2009,2640000,2009
   Lithuania,2009,12060000,2009
   Luxembourg,2009,6480000,2009
   Malta,2009,0,2009
   Netherlands,2009,96240000,2009
   Poland,2009,69660000,2009
   Portugal,2009,9960000,2009
   Romania,2009,2220000,2009
   Slovakia,2009,14760000,2009
   Slovenia,2009,720000,2009
   Spain,2009,86700000,2009
   Sweden,2009,31560000,2009
Japan,2009,7560000,2009
Norway,2009,540000,2009
Russian Federation,2009,26400000,2009
Switzerland,2009,63960000,2009
Tunisia,2009,0,2009
United Kingdom,2009,53520000,2009
United States of America,2009,168120000,2009
   Austria,2010,27780000,2010
   Belgium,2010,303180000,2010
   Belgium/Luxembourg,2010,0,2010
   Bulgaria,2010,7980000,2010
   Croatia,2010,1440000,2010
   Cyprus,2010,120000,2010
   Czechia,2010,28860000,2010
   Denmark,2010,12480000,2010
   Estonia,2010,9480000,2010
   Finland,2010,11580000,2010
   France,2010,63600000,2010
   Germany,2010,692520000,2010
   Greece,2010,4080000,2010
   Hungary,2010,21060000,2010
   Ireland,2010,480000,2010
   Italy,2010,146760000,2010
   Latvia,2010,2340000,2010
   Lithuania,2010,9180000,2010
   Luxembourg,2010,7020000,2010
   Malta,2010,0,2010
   Netherlands,2010,74160000,2010
   Poland,2010,67380000,2010
   Portugal,2010,11820000,2010
   Romania,2010,2580000,2010
   Slovakia,2010,19080000,2010
   Slovenia,2010,780000,2010
   Spain,2010,108180000,2010
   Sweden,2010,30300000,2010
Japan,2010,8580000,2010
Norway,2010,840000,2010
Russian Federation,2010,27300000,2010
Switzerland,2010,78780000,2010
Tunisia,2010,180000,2010
United Kingdom,2010,71580000,2010
United States of America,2010,191460000,2010
   Austria,2011,21900000,2011
   Belgium,2011,293640000,2011
   Belgium/Luxembourg,2011,0,2011
   Bulgaria,2011,7320000,2011
   Croatia,2011,1440000,2011
   Cyprus,2011,0,2011
   Czechia,2011,22800000,2011
   Denmark,2011,8820000,2011
   Estonia,2011,6000000,2011
   Finland,2011,11640000,2011
   France,2011,62580000,2011
   Germany,2011,700980000,2011
   Greece,2011,7920000,2011
   Hungary,2011,27600000,2011
   Ireland,2011,1800000,2011
   Italy,2011,159780000,2011
   Latvia,2011,2400000,2011
   Lithuania,2011,6540000,2011
   Luxembourg,2011,6660000,2011
   Malta,2011,60000,2011
   Netherlands,2011,106140000,2011
   Poland,2011,82200000,2011
   Portugal,2011,12600000,2011
   Romania,2011,2520000,2011
   Slovakia,2011,23340000,2011
   Slovenia,2011,900000,2011
   Spain,2011,100320000,2011
   Sweden,2011,31320000,2011
Japan,2011,4800000,2011
Norway,2011,600000,2011
Russian Federation,2011,27780000,2011
Switzerland,2011,84840000,2011
Tunisia,2011,780000,2011
United Kingdom,2011,75840000,2011
United States of America,2011,223680000,2011
   Austria,2012,18240000,2012
   Belgium,2012,285240000,2012
   Belgium/Luxembourg,2012,0,2012
   Bulgaria,2012,11040000,2012
   Croatia,2012,1440000,2012
   Cyprus,2012,60000,2012
   Czechia,2012,26460000,2012
   Denmark,2012,6780000,2012
   Estonia,2012,3180000,2012
   Finland,2012,9360000,2012
   France,2012,61140000,2012
   Germany,2012,755400000,2012
   Greece,2012,10080000,2012
   Hungary,2012,29760000,2012
   Ireland,2012,2220000,2012
   Italy,2012,177840000,2012
   Latvia,2012,3360000,2012
   Lithuania,2012,8580000,2012
   Luxembourg,2012,6660000,2012
   Malta,2012,0,2012
   Netherlands,2012,80820000,2012
   Poland,2012,96420000,2012
   Portugal,2012,13680000,2012
   Romania,2012,3240000,2012
   Slovakia,2012,34260000,2012
   Slovenia,2012,2160000,2012
   Spain,2012,99540000,2012
   Sweden,2012,31200000,2012
Japan,2012,4260000,2012
Norway,2012,720000,2012
Russian Federation,2012,28740000,2012
Switzerland,2012,85500000,2012
Tunisia,2012,1080000,2012
United Kingdom,2012,72000000,2012
United States of America,2012,203040000,2012
   Austria,2013,18660000,2013
   Belgium,2013,255420000,2013
   Belgium/Luxembourg,2013,0,2013
   Bulgaria,2013,11460000,2013
   Croatia,2013,1560000,2013
   Cyprus,2013,120000,2013
   Czechia,2013,32760000,2013
   Denmark,2013,5940000,2013
   Estonia,2013,2160000,2013
   Finland,2013,10860000,2013
   France,2013,60840000,2013
   Germany,2013,721200000,2013
   Greece,2013,10140000,2013
   Hungary,2013,22860000,2013
   Ireland,2013,2280000,2013
   Italy,2013,190980000,2013
   Latvia,2013,3960000,2013
   Lithuania,2013,9900000,2013
   Luxembourg,2013,8220000,2013
   Malta,2013,0,2013
   Netherlands,2013,106860000,2013
   Poland,2013,96900000,2013
   Portugal,2013,12720000,2013
   Romania,2013,4800000,2013
   Slovakia,2013,28200000,2013
   Slovenia,2013,4440000,2013
   Spain,2013,98160000,2013
   Sweden,2013,32040000,2013
Japan,2013,5520000,2013
Norway,2013,1080000,2013
Russian Federation,2013,45720000,2013
Switzerland,2013,92820000,2013
Tunisia,2013,600000,2013
United Kingdom,2013,82800000,2013
United States of America,2013,194880000,2013
   Austria,2014,23160000,2014
   Belgium,2014,237180000,2014
   Belgium/Luxembourg,2014,0,2014
   Bulgaria,2014,14640000,2014
   Croatia,2014,3060000,2014
   Cyprus,2014,480000,2014
   Czechia,2014,49500000,2014
   Denmark,2014,6300000,2014
   Estonia,2014,840000,2014
   Finland,2014,10980000,2014
   France,2014,65820000,2014
   Germany,2014,774660000,2014
   Greece,2014,8760000,2014
   Hungary,2014,26040000,2014
   Ireland,2014,2160000,2014
   Italy,2014,208140000,2014
   Latvia,2014,6180000,2014
   Lithuania,2014,10380000,2014
   Luxembourg,2014,9480000,2014
   Malta,2014,0,2014
   Netherlands,2014,132960000,2014
   Poland,2014,124740000,2014
   Portugal,2014,13620000,2014
   Romania,2014,2760000,2014
   Slovakia,2014,25260000,2014
   Slovenia,2014,4860000,2014
   Spain,2014,114360000,2014
   Sweden,2014,32820000,2014
Japan,2014,6660000,2014
Norway,2014,840000,2014
Russian Federation,2014,43560000,2014
Switzerland,2014,96960000,2014
Tunisia,2014,0,2014
United Kingdom,2014,83400000,2014
United States of America,2014,201660000,2014
   Austria,2015,22680000,2015
   Belgium,2015,267600000,2015
   Belgium/Luxembourg,2015,0,2015
   Bulgaria,2015,16500000,2015
   Croatia,2015,3780000,2015
   Cyprus,2015,180000,2015
   Czechia,2015,81540000,2015
   Denmark,2015,6540000,2015
   Estonia,2015,420000,2015
   Finland,2015,12660000,2015
   France,2015,72540000,2015
   Germany,2015,749760000,2015
   Greece,2015,9660000,2015
   Hungary,2015,18660000,2015
   Ireland,2015,3900000,2015
   Italy,2015,220140000,2015
   Latvia,2015,5700000,2015
